order_purchase_timestamp,observed,trend,seasonal,resid
2016-09-04,136.23,,-3776.4814812854247,
2016-09-05,75.06,,3070.6555624414905,
2016-09-06,0.0,,2503.115103725894,
2016-09-07,0.0,30.184285714285714,1866.4200641691205,-1896.6043498834063
2016-09-08,0.0,10.722857142857142,880.4085317015885,-891.1313888444456
2016-09-09,0.0,0.0,176.7240122210692,-176.7240122210692
2016-09-10,0.0,5.85,-4720.841792973737,4714.991792973737
2016-09-11,0.0,5.85,-3776.4814812854247,3770.631481285425
2016-09-12,0.0,5.85,3070.6555624414905,-3076.5055624414904
2016-09-13,40.95,5.85,2503.115103725894,-2468.0151037258943
2016-09-14,0.0,5.85,1866.4200641691205,-1872.2700641691204
2016-09-15,0.0,5.85,880.4085317015885,-886.2585317015885
2016-09-16,0.0,5.85,176.7240122210692,-182.57401222106918
2016-09-17,0.0,0.0,-4720.841792973737,4720.841792973737
2016-09-18,0.0,0.0,-3776.4814812854247,3776.4814812854247
2016-09-19,0.0,0.0,3070.6555624414905,-3070.6555624414905
2016-09-20,0.0,0.0,2503.115103725894,-2503.115103725894
2016-09-21,0.0,0.0,1866.4200641691205,-1866.4200641691205
2016-09-22,0.0,0.0,880.4085317015885,-880.4085317015885
2016-09-23,0.0,0.0,176.7240122210692,-176.7240122210692
2016-09-24,0.0,0.0,-4720.841792973737,4720.841792973737
2016-09-25,0.0,0.0,-3776.4814812854247,3776.4814812854247
2016-09-26,0.0,0.0,3070.6555624414905,-3070.6555624414905
2016-09-27,0.0,0.0,2503.115103725894,-2503.115103725894
2016-09-28,0.0,0.0,1866.4200641691205,-1866.4200641691205
2016-09-29,0.0,15.62,880.4085317015885,-896.0285317015885
2016-09-30,0.0,100.64,176.7240122210692,-277.3640122210692
2016-10-01,0.0,1802.732857142857,-4720.841792973737,2918.10893583088
2016-10-02,109.34,3261.6214285714286,-3776.4814812854247,624.2000527139962
2016-10-03,595.14,4604.28,3070.6555624414905,-7079.79556244149
2016-10-04,11914.65,5783.592857142857,2503.115103725894,3627.9420391312487
2016-10-05,10212.22,7171.611428571428,1866.4200641691205,1174.1885072594505
2016-10-06,9398.61,7749.149999999999,880.4085317015885,769.0514682984134
2016-10-07,8255.19,8332.001428571428,176.7240122210692,-253.5354407924965
2016-10-08,9716.13,6629.908571428571,-4720.841792973737,7807.063221545165
2016-10-09,4152.11,5171.0199999999995,-3776.4814812854247,2757.571481285425
2016-10-10,4675.1,3828.3614285714284,3070.6555624414905,-2223.9169910129185
2016-10-11,0.0,2649.0485714285714,2503.115103725894,-5152.163675154466
2016-10-12,0.0,1261.03,1866.4200641691205,-3127.45006416912
2016-10-13,0.0,667.8714285714286,880.4085317015885,-1548.279960273017
2016-10-14,0.0,0.0,176.7240122210692,-176.7240122210692
2016-10-15,0.0,0.0,-4720.841792973737,4720.841792973737
2016-10-16,0.0,0.0,-3776.4814812854247,3776.4814812854247
2016-10-17,0.0,0.0,3070.6555624414905,-3070.6555624414905
2016-10-18,0.0,0.0,2503.115103725894,-2503.115103725894
2016-10-19,0.0,8.855714285714285,1866.4200641691205,-1875.2757784548348
2016-10-20,0.0,8.855714285714285,880.4085317015885,-889.2642459873027
2016-10-21,0.0,8.855714285714285,176.7240122210692,-185.57972650678346
2016-10-22,61.99,8.855714285714285,-4720.841792973737,4773.976078688022
2016-10-23,0.0,8.855714285714285,-3776.4814812854247,3767.6257669997103
2016-10-24,0.0,8.855714285714285,3070.6555624414905,-3079.511276727205
2016-10-25,0.0,8.855714285714285,2503.115103725894,-2511.9708180116086
2016-10-26,0.0,0.0,1866.4200641691205,-1866.4200641691205
2016-10-27,0.0,0.0,880.4085317015885,-880.4085317015885
2016-10-28,0.0,0.0,176.7240122210692,-176.7240122210692
2016-10-29,0.0,0.0,-4720.841792973737,4720.841792973737
2016-10-30,0.0,0.0,-3776.4814812854247,3776.4814812854247
2016-10-31,0.0,0.0,3070.6555624414905,-3070.6555624414905
2016-11-01,0.0,0.0,2503.115103725894,-2503.115103725894
2016-11-02,0.0,0.0,1866.4200641691205,-1866.4200641691205
2016-11-03,0.0,0.0,880.4085317015885,-880.4085317015885
2016-11-04,0.0,0.0,176.7240122210692,-176.7240122210692
2016-11-05,0.0,0.0,-4720.841792973737,4720.841792973737
2016-11-06,0.0,0.0,-3776.4814812854247,3776.4814812854247
2016-11-07,0.0,0.0,3070.6555624414905,-3070.6555624414905
2016-11-08,0.0,0.0,2503.115103725894,-2503.115103725894
2016-11-09,0.0,0.0,1866.4200641691205,-1866.4200641691205
2016-11-10,0.0,0.0,880.4085317015885,-880.4085317015885
2016-11-11,0.0,0.0,176.7240122210692,-176.7240122210692
2016-11-12,0.0,0.0,-4720.841792973737,4720.841792973737
2016-11-13,0.0,0.0,-3776.4814812854247,3776.4814812854247
2016-11-14,0.0,0.0,3070.6555624414905,-3070.6555624414905
2016-11-15,0.0,0.0,2503.115103725894,-2503.115103725894
2016-11-16,0.0,0.0,1866.4200641691205,-1866.4200641691205
2016-11-17,0.0,0.0,880.4085317015885,-880.4085317015885
2016-11-18,0.0,0.0,176.7240122210692,-176.7240122210692
2016-11-19,0.0,0.0,-4720.841792973737,4720.841792973737
2016-11-20,0.0,0.0,-3776.4814812854247,3776.4814812854247
2016-11-21,0.0,0.0,3070.6555624414905,-3070.6555624414905
2016-11-22,0.0,0.0,2503.115103725894,-2503.115103725894
2016-11-23,0.0,0.0,1866.4200641691205,-1866.4200641691205
2016-11-24,0.0,0.0,880.4085317015885,-880.4085317015885
